SKU,Product Name,Stock Status,Product URL
IN64-S13V2-WHI,"Inno64 Nissan Silvia S13 (V2) ""Pandem / Rocket Bunny"" White",out_of_stock,https://downskale.com/products/inno64-nissan-silvia-s13-v2-pandem-rocket-bunny-white
IN64-R34GTT-IMX22,Inno64 Nissan Skyline (R34) GT-T Magic Purple International MotorXpo Hong Kong 2022 Event Edition,out_of_stock,https://downskale.com/products/inno64-nissan-skyline-r34-gt-t-magic-purple-international-motorxpo-hong-kong-2022-event-edition
IN64-KPGC10-MDX23WH,Inno64 Nissan Skyline 2000 GT-R Malaysia Diecast Expo 2023 Event Edition,out_of_stock,https://downskale.com/products/inno64-nissan-skyline-2000-gt-r-malaysia-diecast-expo-2023-event-edition
IN64-R34-5ZFAL,"Inno64 Nissan Skyline GT-R (R34) ""5Zigen Falken"" Super Taikyu 2000 N1 Class Winner",out_of_stock,https://downskale.com/products/inno64-nissan-skyline-gt-r-r34-5zigen-falken-super-taikyu-2000-n1-class-winner
IN64-R30-AD87,Inno64 Nissan Skyline 2000 RS-X Turbo (DR30) #26 ADVAN JTC 1987,out_of_stock,https://downskale.com/products/inno64-nissan-skyline-2000-rs-x-turbo-dr30-26-advan-jtc-1987
IN64-240Z-BLU,Inno64 Nissan Fairlady Z (S30) Blue with Carbon Hood,out_of_stock,https://downskale.com/products/inno64-nissan-fairlady-z-s30-blue-with-carbon-hood
IN64-LBWK-RX7-01,Inno64 RX7 (FD3S) LB-Super Silhouette - Black,out_of_stock,https://downskale.com/products/inno64-rx7-fd3s-lb-super-silhouette
IN64-R34-OFCRS,"Inno64 Nissan Skyline GT-R (R34) Omori Factory ""Clubman Race Spec""",out_of_stock,https://downskale.com/products/inno64-nissan-skyline-gt-r-r34-omori-factory-clubman-race-spec
IN64-R35TS-MDX24,"Inno64 Nissan Skyline GT-R (R35) ""Top Secret"" Malaysia Diecast Expo 2024 Special Edition",out_of_stock,https://downskale.com/products/inno64-nissan-skyline-gt-r-r35-top-secret-malaysia-diecast-expo-2024-special-edition
IN64-400R-LYL,Inno64 Nissan Skyline GT-R (R33) Nismo 400R Lightning Yellow,out_of_stock,https://downskale.com/products/inno64-nissan-skyline-gt-r-r33-nismo-400r-lightning-yellow
IN64-R32-MB,Inno64 Nissan Skyline GT-R (R32) Matt Black The Diecast Company Special Edition,out_of_stock,https://downskale.com/products/inno64-nissan-skyline-gt-r-r32-matt-black-the-diecast-company-special-edition
IN64-R30-JTC97HMD,"Inno64 Nissan Skyline 2000 RS-X Turbo #50 ""Hasemi Motorsport Dunlop"" All Japan Touring Car Championship 197",out_of_stock,https://downskale.com/products/inno64-nissan-skyline-2000-rs-x-turbo-50-hasemi-motorsport-dunlop-all-japan-touring-car-championship-197
IN64-R32P-1087X,"Inno64 Nissan Skyline GT-R (R32) 1087 Rocket Bunny Racing ""Echo Gao""",out_of_stock,https://downskale.com/products/inno64-nissan-skyline-gt-r-r32-1087-rocket-bunny-racing-echo-gao
IN64-LBWKF40-CHS,Inno64 LBWK (F40) Chrome Silver,out_of_stock,https://downskale.com/products/inno64-lbwk-f40-chrome-silver
IN64-R34RT-BCH,Inno64 Nissan Skyline GT-R (R34) Nismo R-Tune Black Chrome Hobby Expo China 2023 Event Edition,out_of_stock,
IN64-R34RT-SCH,Inno64 Nissan Skyline GT-R (R34) Nismo R-Tune Silver Chrome Hobby Expo China 2023 Event Edition,out_of_stock,https://downskale.com/products/inno64-nissan-skyline-gt-r-r34-nismo-r-tune-silver-chrome-hobby-expo-china-2023-event-edition
IN64-LBWKR35-AIT24,Inno64 LB-Silhouette Works GT Nissan R35GT-RR All In Tuning 2024 Event Edition,out_of_stock,https://downskale.com/products/inno64-lb-silhouette-works-gt-nissan-r35gt-rr-all-in-tuning-2024-event-edition
